Time,CMX1,CMY1,CMX2,CMY2,CMX3,CMY3
0,0.244991,-0.06819605,0.1530838,-0.08504831,0.4531896,-0.03002042
0.09875309,0.244982,-0.06805867,0.1530604,-0.08504991,0.4532131,-0.0295682
0.1992795,0.2449862,-0.06768445,0.153029,-0.08507503,0.4532989,-0.02829476
0.2976122,0.2449815,-0.06702097,0.1529728,-0.08504688,0.453412,-0.02620638
0.3986771,0.2449707,-0.06602597,0.1529018,-0.08486025,0.4535355,-0.0233901
0.498147,0.2449484,-0.06469063,0.1528203,-0.08442294,0.4536393,-0.02001195
0.5974153,0.2449407,-0.06295432,0.1527496,-0.08370448,0.4537658,-0.01595839
0.6964771,0.2449415,-0.06079236,0.1527118,-0.08273634,0.4538452,-0.01108322
0.7988725,0.2450346,-0.05812303,0.1527511,-0.08138859,0.4540588,-0.005422478
0.897307,0.2451923,-0.05509716,0.1528547,-0.07969442,0.4543391,0.0006240726
0.9991494,0.2454216,-0.05155779,0.1530476,-0.07765146,0.4546436,0.007530841
1.097277,0.2457603,-0.04779015,0.1533472,-0.07536324,0.455061,0.01465531
1.199123,0.2461878,-0.04344902,0.15373,-0.07262624,0.4555737,0.02263321
1.297489,0.2466809,-0.038856,0.1541703,-0.0696455,0.4561668,0.03091564
1.399388,0.2472524,-0.03369489,0.1547048,-0.06621554,0.4568071,0.04007141
1.497433,0.2479175,-0.02848732,0.1553423,-0.06269546,0.457525,0.04916088
1.59905,0.2486783,-0.02281089,0.1560414,-0.05877114,0.4584203,0.05884925
1.6971,0.249446,-0.01691233,0.156715,-0.05459286,0.4594052,0.06868387
1.798814,0.2502746,-0.01036229,0.1574376,-0.0498882,0.4604827,0.07946084
1.896876,0.2511891,-0.003459268,0.1582464,-0.0448508,0.4616555,0.09064984
1.998571,0.2521685,0.004134614,0.1590844,-0.0393538,0.4629797,0.1030298
2.096692,0.2531348,0.01177837,0.159867,-0.03374601,0.4644005,0.1153603
2.198563,0.2541445,0.01994626,0.160617,-0.02771391,0.4660425,0.1284613
2.296933,0.2552166,0.02813356,0.1613823,-0.02165725,0.467853,0.1415408
2.399085,0.2564815,0.03698816,0.162318,-0.0150856,0.4699089,0.1556163
2.4977,0.25771,0.04592861,0.1631863,-0.008455559,0.4719949,0.1698253
2.596415,0.258954,0.05543757,0.1640281,-0.001397981,0.4741932,0.1849122
2.698898,0.260292,0.06575977,0.1649407,0.006311769,0.4765335,0.2011827
2.797844,0.2616874,0.07607479,0.1659068,0.01402224,0.4789299,0.2173892
2.896941,0.2631223,0.08673111,0.1668823,0.02202781,0.4814306,0.2340294
2.999852,0.2646919,0.09823967,0.16794,0.03076018,0.484186,0.2518379
3.099231,0.2662179,0.1098667,0.1689977,0.03960683,0.4867932,0.269812
3.19873,0.2677516,0.1219717,0.1700628,0.04881558,0.4893995,0.2885341
3.298264,0.269265,0.134528,0.1710943,0.05839259,0.4919975,0.3079155
3.397763,0.2707742,0.1475424,0.1720979,0.06831346,0.4946306,0.3280215
3.497282,0.2722954,0.1610269,0.1731069,0.07858718,0.4972646,0.3488028
3.596814,0.2738446,0.1748814,0.1741493,0.08914005,0.4998926,0.370069
3.69635,0.2754225,0.189123,0.1752465,0.1000138,0.5024733,0.3918712
3.799619,0.2770536,0.2044155,0.1764351,0.1117028,0.5050042,0.415272
3.899245,0.2786275,0.2196825,0.1776309,0.1234259,0.5073259,0.4385398
3.998889,0.2802487,0.2354025,0.1789106,0.1355265,0.5095945,0.462378
4.098542,0.2818937,0.2514828,0.1802492,0.1478914,0.5117932,0.4867849
4.198196,0.2835649,0.2679445,0.1816179,0.1605657,0.5139943,0.5117292
4.297857,0.2851978,0.2848006,0.1830036,0.1735035,0.5160194,0.537324
4.397518,0.28682,0.3021342,0.1844464,0.1868156,0.5178696,0.5635753
4.497177,0.2884409,0.3199634,0.1859329,0.2005803,0.5196087,0.590393
4.596797,0.2900538,0.3382677,0.1874646,0.2147734,0.5212245,0.6177756
4.696343,0.2916409,0.3570569,0.1890329,0.2294031,0.5226731,0.6457416
4.799497,0.2932599,0.377049,0.1906933,0.2450243,0.5240111,0.6753332
