Time,Velx1,Vely1,Velx2,Vely2,Velx3,Vely3
0,0,0,0,0,0,0
0.09875309,1.462975E-05,0.003303707,-2.438948E-05,5.214686E-06,0.0001030839,0.01077451
0.1992795,6.136718E-05,0.007146267,-4.305574E-05,0.0006001785,0.000298657,0.0220171
0.2976122,0.0002367778,0.0113034,8.821526E-05,0.002380607,0.0005454762,0.03175257
0.3986771,0.0004746538,0.01591944,0.0004656077,0.005374526,0.0004190776,0.04001144
0.498147,0.0007621705,0.02053867,0.000917085,0.008983306,0.0002961066,0.04687991
0.5974153,0.001122828,0.0250749,0.001346431,0.01272554,0.0005177497,0.05311131
0.6964771,0.001508888,0.02935139,0.001795471,0.01621784,0.0007803275,0.05913652
0.7988725,0.002026378,0.03370393,0.002299475,0.01988674,0.001368983,0.06506743
0.897307,0.002620851,0.03790477,0.002791233,0.02352013,0.002197538,0.07047433
0.9991494,0.003284725,0.04205693,0.003307607,0.02705093,0.003154451,0.07610953
1.097277,0.003955761,0.04602286,0.003903905,0.03042859,0.003975305,0.08144249
1.199123,0.004657484,0.05011929,0.004484363,0.03386694,0.004913032,0.08709338
1.297489,0.005339539,0.05404631,0.005047768,0.03724082,0.005867892,0.09236128
1.399388,0.006062729,0.05801817,0.005660502,0.04068834,0.006897161,0.09751386
1.497433,0.006768891,0.06183958,0.006205358,0.04396541,0.007981704,0.1025792
1.59905,0.007501424,0.06594904,0.00674192,0.04741587,0.009183538,0.1081951
1.6971,0.008173757,0.06987346,0.007182192,0.05064314,0.01042867,0.1136453
1.798814,0.008879529,0.07391554,0.007584567,0.05387807,0.01183606,0.119479
1.896876,0.009547872,0.07780125,0.007906314,0.05692417,0.01335434,0.1251981
1.998571,0.01018724,0.08166163,0.008148816,0.05998055,0.0149796,0.1308542
2.096692,0.0107452,0.08542757,0.008281606,0.06308235,0.01655156,0.1360507
2.198563,0.01129213,0.08936678,0.008340722,0.06630326,0.01825035,0.1415127
2.296933,0.01175411,0.09319232,0.008369711,0.06939501,0.01973193,0.1469442
2.399085,0.01222927,0.09716131,0.008437346,0.07254303,0.02116177,0.1527107
2.4977,0.01268481,0.1009711,0.008571822,0.07555735,0.02235189,0.1582282
2.596415,0.01314497,0.1049179,0.008720312,0.07863599,0.02345233,0.1639882
2.698898,0.01361511,0.1090644,0.008910564,0.08189378,0.02448584,0.169927
2.797844,0.01399394,0.1131123,0.009101803,0.08520421,0.02526764,0.1755276
2.896941,0.01431079,0.1171935,0.009308746,0.08860479,0.02585834,0.1811522
2.999852,0.01458633,0.1215513,0.009463472,0.09221443,0.0264136,0.1872928
3.099231,0.01475693,0.1257713,0.00948373,0.09559493,0.02687178,0.1934184
3.19873,0.01492637,0.1299443,0.009473363,0.09893882,0.02732806,0.1993876
3.298264,0.01512222,0.1342777,0.009465824,0.1023722,0.02778453,0.2056302
3.397763,0.0153475,0.1386547,0.009544266,0.1058138,0.02804838,0.2119129
3.497282,0.01563538,0.1430538,0.009800131,0.1093163,0.02808108,0.2180139
3.596814,0.01590059,0.1473982,0.01013371,0.1127797,0.02796179,0.2240746
3.69635,0.01605491,0.1517767,0.01050857,0.1162966,0.02750553,0.2302054
3.799619,0.01608736,0.1564875,0.01091452,0.120204,0.0265864,0.2365508
3.899245,0.01610417,0.1609007,0.0113614,0.1238334,0.02541281,0.2424472
3.998889,0.01610412,0.1652474,0.0118291,0.1273402,0.02413244,0.2484106
4.098542,0.01610678,0.1696596,0.01236829,0.1310258,0.02280621,0.2543077
4.198196,0.01617312,0.1741058,0.01296661,0.1347457,0.02160695,0.2602214
4.297857,0.01620086,0.1784485,0.01356904,0.1384091,0.02022108,0.2658416
4.397518,0.01619048,0.1827598,0.01412739,0.1420527,0.01879615,0.2713562
4.497177,0.01619169,0.1870953,0.014681,0.1457991,0.0174985,0.2768789
4.596797,0.01621712,0.19142,0.01521315,0.1496001,0.0163414,0.2822236
4.696343,0.01624021,0.1957773,0.01571985,0.1534219,0.01521779,0.2875991
4.799497,0.0162638,0.2001305,0.01622392,0.1572053,0.01413074,0.293002
4.898888,0.01631339,0.2042929,0.01671673,0.1608408,0.01320551,0.2980958
4.998197,0.01636617,0.2084717,0.01719216,0.1645335,0.0123267,0.3030125
5.097418,0.01646146,0.2125369,0.01773948,0.1682155,0.0114742,0.30769
5.196535,0.01658407,0.2164035,0.01827569,0.1715187,0.01068487,0.3125297
5.29918,0.01671927,0.2205566,0.01879404,0.1752164,0.009915847,0.3174729
5.398009,0.01676949,0.2244683,0.01923436,0.1788024,0.009188099,0.3219929
5.496707,0.01679881,0.2283059,0.01968528,0.1823845,0.008425154,0.3263329
5.599261,0.01683437,0.2322048,0.02020173,0.1860654,0.007545717,0.330607
5.698703,0.01691275,0.2359897,0.0207427,0.1897061,0.006684748,0.3344655
5.798079,0.0170542,0.2396597,0.02134309,0.1932471,0.005876606,0.3380657
5.897417,0.01717993,0.2434078,0.0219163,0.1970412,0.005095542,0.3416021
5.996718,0.01726649,0.2471435,0.02245456,0.2008065,0.00427927,0.3452463
6.099675,0.01734302,0.2508877,0.0229995,0.2047054,0.00341723,0.3485478
6.198969,0.01739911,0.2544456,0.02349152,0.2084742,0.002650539,0.3515259
6.298285,0.01747302,0.2578345,0.02403035,0.2120748,0.001892331,0.3542711
6.39764,0.01757862,0.2611519,0.02459732,0.2155775,0.001138408,0.3568922
6.497126,0.01767489,0.2643906,0.02508848,0.2190685,0.0004514832,0.3592239
6.596705,0.01777052,0.2678234,0.02552151,0.2229949,-0.0001097338,0.3614083
6.699831,0.01790089,0.2713012,0.0259433,0.2269991,-0.0005500883,0.3636497
6.799123,0.01805623,0.2745461,0.02632153,0.2307381,-0.0007962178,0.3657223
6.898442,0.01822592,0.2776204,0.02668037,0.2342908,-0.0009344031,0.3675989
6.997904,0.01840985,0.2805814,0.02703212,0.2377088,-0.001008228,0.3693363
7.097529,0.01864457,0.2838665,0.0273695,0.2415706,-0.001011543,0.3710465
7.197375,0.0188645,0.2870973,0.02763469,0.2454472,-0.0009073519,0.3726642
7.297437,0.01912471,0.2903439,0.02793189,0.2493665,-0.0006950099,0.3742763
7.397971,0.01938879,0.2936709,0.02821149,0.2534221,-0.000388461,0.3759103
7.498812,0.01969164,0.2969053,0.0285063,0.2574552,9.270913E-07,0.3772337
7.59988,0.02001947,0.2999669,0.02877686,0.2612919,0.0004654849,0.3783796
7.697278,0.02037861,0.3029694,0.02906192,0.2649619,0.0009971818,0.3797118
7.798317,0.02072665,0.306248,0.02920953,0.2689623,0.001803155,0.3811487
7.899441,0.02106172,0.3094127,0.0292525,0.2728022,0.002795909,0.3825563
7.996816,0.02139044,0.3124399,0.02923064,0.2765755,0.003981523,0.383736
8.097989,0.02177303,0.3155711,0.02918749,0.2805328,0.00542595,0.3848766
8.199089,0.02218231,0.318618,0.02912471,0.2843168,0.006929514,0.3861018
8.296386,0.02261458,0.3216532,0.02906995,0.2879763,0.008385127,0.3875253
8.397389,0.02306101,0.3249136,0.02903035,0.2919553,0.009849036,0.3890289
8.498315,0.02349307,0.3281207,0.02897112,0.2958735,0.01130699,0.3904972
8.599057,0.0239143,0.3313193,0.02889893,0.2997515,0.01279883,0.3920543
8.699626,0.02433107,0.3344879,0.02879036,0.3036522,0.01437482,0.3934522
8.796323,0.02476793,0.3374909,0.028701,0.3072578,0.01596653,0.3949347
8.896595,0.02522968,0.3406119,0.02859891,0.3109554,0.01760659,0.3966527
8.996714,0.02571117,0.3437508,0.02854506,0.3146877,0.01926697,0.3983731
9.096669,0.02620234,0.3468595,0.02854435,0.3184025,0.02088433,0.400048
9.196553,0.02668472,0.3499585,0.02856649,0.322055,0.0224214,0.401842
9.296602,0.02715377,0.3530294,0.02858154,0.3256602,0.02392543,0.4036839
9.396624,0.02762754,0.3560883,0.02861005,0.3292565,0.02538371,0.4054715
9.496737,0.02814361,0.3591775,0.02870963,0.3328354,0.0268048,0.4074579
9.597152,0.02867538,0.3621765,0.02885442,0.3363118,0.02821141,0.4093533
9.697653,0.02922218,0.3651372,0.02903067,0.3397355,0.029624,0.4112148
9.798053,0.02975672,0.3681243,0.02923035,0.3431641,0.0309374,0.4131616
