Time CMX1 CMY1 CMX2 CMY2 CMX3 CMY3
0.000000e+00 1.160755e-01 -3.287701e-02 7.289498e-02 -5.216325e-02 2.998329e-01 4.919688e-02
9.801032e-02 1.160999e-01 -3.274373e-02 7.288959e-02 -5.216478e-02 2.999849e-01 4.990407e-02
1.990534e-01 1.161240e-01 -3.233457e-02 7.288260e-02 -5.216813e-02 3.001455e-01 5.206753e-02
2.994890e-01 1.161383e-01 -3.160330e-02 7.287033e-02 -5.217326e-02 3.002778e-01 5.592359e-02
3.971466e-01 1.161477e-01 -3.055671e-02 7.285241e-02 -5.210254e-02 3.004070e-01 6.109125e-02
4.972429e-01 1.161754e-01 -2.911364e-02 7.285120e-02 -5.184820e-02 3.005573e-01 6.756154e-02
5.999785e-01 1.162210e-01 -2.721615e-02 7.289622e-02 -5.130341e-02 3.005947e-01 7.519299e-02
6.995497e-01 1.163066e-01 -2.493693e-02 7.298414e-02 -5.046976e-02 3.006470e-01 8.360225e-02
7.988532e-01 1.163961e-01 -2.229061e-02 7.310076e-02 -4.938324e-02 3.005891e-01 9.291050e-02
8.978576e-01 1.165367e-01 -1.934779e-02 7.325677e-02 -4.804057e-02 3.006212e-01 1.027051e-01
9.995929e-01 1.166808e-01 -1.594877e-02 7.342692e-02 -4.636057e-02 3.006309e-01 1.134413e-01
1.098350e+00 1.168244e-01 -1.230542e-02 7.360302e-02 -4.441107e-02 3.006400e-01 1.243341e-01
1.197151e+00 1.170175e-01 -8.290249e-03 7.380832e-02 -4.218305e-02 3.008046e-01 1.360297e-01
1.298977e+00 1.172299e-01 -3.718086e-03 7.401590e-02 -3.947743e-02 3.010736e-01 1.486345e-01
1.397864e+00 1.174495e-01 1.025319e-03 7.422165e-02 -3.658759e-02 3.014062e-01 1.613471e-01
1.499625e+00 1.177063e-01 6.270927e-03 7.445998e-02 -3.336739e-02 3.018134e-01 1.752108e-01
1.598537e+00 1.179663e-01 1.165528e-02 7.468953e-02 -2.998950e-02 3.022659e-01 1.891132e-01
1.697580e+00 1.182402e-01 1.749556e-02 7.492405e-02 -2.616368e-02 3.027808e-01 2.035868e-01
1.799735e+00 1.185597e-01 2.398181e-02 7.520249e-02 -2.181470e-02 3.033539e-01 2.192617e-01
1.899198e+00 1.188373e-01 3.066271e-02 7.543324e-02 -1.735323e-02 3.039089e-01 2.354109e-01
