Time Mass1 Mass2 Mass3 AvgRho1 AvgRho2 AvgRho3 AvgPrs1 AvgPrs2 AvgPrs3 AvgTem1 AvgTem2 AvgTem3
0.000000e+00 8.503823e+01 6.885763e+01 1.618060e+01 2.681008e+01 8.474785e+01 6.858004e+00 1.000000e-01 1.000000e-01 1.000000e-01 3.735386e-01 3.252566e-03 5.010543e-01
9.801032e-02 8.503825e+01 6.885763e+01 1.618060e+01 2.533302e+01 8.425996e+01 6.371710e+00 1.142534e-01 9.996999e-02 1.188469e-01 4.729185e-01 3.280124e-03 6.240057e-01
1.990534e-01 8.503834e+01 6.885763e+01 1.618060e+01 2.352866e+01 8.399155e+01 5.791501e+00 1.365029e-01 1.001707e-01 1.471507e-01 6.636370e-01 3.262235e-03 8.573105e-01
2.994890e-01 8.503842e+01 6.885763e+01 1.618061e+01 2.180113e+01 8.419605e+01 5.250370e+00 1.561895e-01 1.113429e-01 1.681815e-01 7.834595e-01 3.697228e-03 9.902888e-01
3.971466e-01 8.503850e+01 6.885763e+01 1.618062e+01 2.033697e+01 8.517973e+01 4.798788e+00 1.702666e-01 1.479660e-01 1.763561e-01 7.930711e-01 5.171032e-03 9.818063e-01
4.972429e-01 8.503856e+01 6.885763e+01 1.618063e+01 1.916729e+01 8.698983e+01 4.439636e+00 1.802834e-01 2.059894e-01 1.764334e-01 7.105988e-01 7.108230e-03 8.632905e-01
5.999785e-01 8.503860e+01 6.885763e+01 1.618063e+01 1.820716e+01 8.904060e+01 4.150985e+00 1.825304e-01 2.615586e-01 1.695908e-01 6.088737e-01 8.318645e-03 7.282251e-01
6.995497e-01 8.503861e+01 6.885763e+01 1.618063e+01 1.730788e+01 9.107011e+01 3.890945e+00 1.787997e-01 3.009287e-01 1.604343e-01 5.518823e-01 9.040166e-03 6.512252e-01
7.988532e-01 8.503863e+01 6.885763e+01 1.618063e+01 1.642918e+01 9.301284e+01 3.646392e+00 1.715952e-01 3.406732e-01 1.481474e-01 5.416154e-01 9.729949e-03 6.317867e-01
8.978576e-01 8.503864e+01 6.885763e+01 1.618063e+01 1.563208e+01 9.469481e+01 3.433018e+00 1.689301e-01 3.846975e-01 1.399852e-01 5.402349e-01 1.105895e-02 6.232787e-01
9.995929e-01 8.503864e+01 6.885763e+01 1.618063e+01 1.492777e+01 9.597998e+01 3.248805e+00 1.665120e-01 4.338449e-01 1.322731e-01 5.285300e-01 1.400876e-02 6.043810e-01
1.098350e+00 8.503865e+01 6.885763e+01 1.618063e+01 1.436695e+01 9.688597e+01 3.105676e+00 1.647473e-01 4.752680e-01 1.258905e-01 5.116645e-01 1.838918e-02 5.807803e-01
1.197151e+00 8.503865e+01 6.885763e+01 1.618063e+01 1.392673e+01 9.776725e+01 2.993890e+00 1.630952e-01 5.083489e-01 1.213480e-01 4.912354e-01 2.326647e-02 5.545838e-01
1.298977e+00 8.503865e+01 6.885763e+01 1.618063e+01 1.357490e+01 9.833076e+01 2.906616e+00 1.637902e-01 5.509246e-01 1.174713e-01 4.690560e-01 3.177705e-02 5.266203e-01
1.397864e+00 8.503866e+01 6.885763e+01 1.618063e+01 1.329584e+01 9.866943e+01 2.837397e+00 1.650589e-01 5.901539e-01 1.141055e-01 4.512400e-01 3.928705e-02 5.046565e-01
1.499625e+00 8.503866e+01 6.885763e+01 1.618063e+01 1.304699e+01 9.857301e+01 2.775777e+00 1.643428e-01 6.049256e-01 1.114655e-01 4.476097e-01 4.947731e-02 4.989193e-01
1.598537e+00 8.503866e+01 6.885763e+01 1.618063e+01 1.283663e+01 9.737201e+01 2.726720e+00 1.665631e-01 6.453295e-01 1.089818e-01 4.501512e-01 6.330891e-02 5.002423e-01
1.697580e+00 8.503866e+01 6.885763e+01 1.618063e+01 1.266172e+01 9.589904e+01 2.686761e+00 1.700151e-01 6.822681e-01 1.078566e-01 4.556766e-01 7.922991e-02 5.052426e-01
1.799735e+00 8.503866e+01 6.885763e+01 1.618063e+01 1.251320e+01 9.443374e+01 2.652925e+00 1.709010e-01 6.870340e-01 1.072485e-01 4.613980e-01 9.881299e-02 5.103320e-01
1.899198e+00 8.503866e+01 6.885763e+01 1.618063e+01 1.240963e+01 9.294172e+01 2.629203e+00 1.702437e-01 6.900218e-01 1.052660e-01 4.673860e-01 1.183647e-01 5.162566e-01
1.998826e+00 8.503866e+01 6.885763e+01 1.618063e+01 1.229965e+01 9.057169e+01 2.607576e+00 1.753051e-01 7.324343e-01 1.039336e-01 4.726685e-01 1.380653e-01 5.217576e-01
2.098460e+00 8.503866e+01 6.885763e+01 1.618063e+01 1.211497e+01 8.710105e+01 2.574024e+00 1.804422e-01 7.684885e-01 1.028423e-01 4.748201e-01 1.618514e-01 5.230123e-01
2.198090e+00 8.503868e+01 6.885763e+01 1.618063e+01 1.189250e+01 8.363501e+01 2.532633e+00 1.815983e-01 7.713745e-01 1.015550e-01 4.755027e-01 1.867861e-01 5.223037e-01
2.297754e+00 8.503869e+01 6.885763e+01 1.618063e+01 1.166262e+01 7.974655e+01 2.491566e+00 1.820253e-01 7.680860e-01 1.001424e-01 4.771808e-01 2.177221e-01 5.222946e-01
2.397468e+00 8.503870e+01 6.885763e+01 1.618063e+01 1.145175e+01 7.530099e+01 2.459357e+00 1.809636e-01 7.510843e-01 9.813647e-02 4.791026e-01 2.449268e-01 5.233623e-01
2.497226e+00 8.503871e+01 6.885763e+01 1.618063e+01 1.129208e+01 7.059611e+01 2.444877e+00 1.805623e-01 7.232453e-01 9.718642e-02 4.824084e-01 2.731378e-01 5.262123e-01
2.599901e+00 8.503873e+01 6.885763e+01 1.618063e+01 1.119715e+01 6.577344e+01 2.453816e+00 1.825248e-01 6.930584e-01 9.831486e-02 4.852674e-01 2.998077e-01 5.287043e-01
2.699633e+00 8.503875e+01 6.885763e+01 1.618063e+01 1.113041e+01 6.086531e+01 2.475522e+00 1.872806e-01 6.754676e-01 9.975300e-02 4.844385e-01 3.260450e-01 5.265836e-01
2.799402e+00 8.503876e+01 6.885763e+01 1.618063e+01 1.104560e+01 5.620271e+01 2.494877e+00 1.916326e-01 6.549548e-01 1.008996e-01 4.816057e-01 3.501675e-01 5.217685e-01
2.899234e+00 8.503879e+01 6.885763e+01 1.618063e+01 1.092290e+01 5.197604e+01 2.504711e+00 1.956172e-01 6.364231e-01 1.020467e-01 4.777103e-01 3.669114e-01 5.166890e-01
2.999178e+00 8.503881e+01 6.885763e+01 1.618063e+01 1.075207e+01 4.815068e+01 2.503238e+00 1.974867e-01 6.119938e-01 1.029354e-01 4.733284e-01 3.794491e-01 5.108271e-01
3.099285e+00 8.503883e+01 6.885763e+01 1.618063e+01 1.051110e+01 4.462133e+01 2.481355e+00 1.967943e-01 5.847226e-01 1.024653e-01 4.661255e-01 3.926219e-01 5.007382e-01
