Time Velx1 Vely1 Velx2 Vely2 Velx3 Vely3
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.941757e-02 7.636418e-06 3.058478e-03 -1.512900e-05 1.026864e-05 6.729044e-05 1.103329e-02
1.981392e-01 6.791060e-05 6.650623e-03 -2.650274e-05 3.691778e-04 3.141543e-04 2.309719e-02
2.991094e-01 2.006215e-04 1.078255e-02 8.566417e-05 2.114474e-03 4.936249e-04 3.363081e-02
3.988841e-01 4.464021e-04 1.497540e-02 5.153940e-04 4.985311e-03 1.923378e-04 4.121616e-02
4.990965e-01 7.463963e-04 1.938713e-02 1.010337e-03 8.604839e-03 -5.878462e-05 4.762510e-02
5.990884e-01 1.060932e-03 2.361401e-02 1.418440e-03 1.208321e-02 -2.044827e-06 5.381719e-02
6.988377e-01 1.438321e-03 2.762700e-02 1.827752e-03 1.538964e-02 2.845997e-04 5.971122e-02
7.982761e-01 1.881787e-03 3.172213e-02 2.197117e-03 1.882795e-02 9.202310e-04 6.547459e-02
8.973620e-01 2.412688e-03 3.573572e-02 2.618840e-03 2.226791e-02 1.755085e-03 7.098964e-02
9.992052e-01 2.952109e-03 3.973096e-02 3.028941e-03 2.574173e-02 2.674813e-03 7.632734e-02
1.098240e+00 3.558904e-03 4.365063e-02 3.456194e-03 2.913966e-02 3.752442e-03 8.167623e-02
1.197188e+00 4.121442e-03 4.747487e-02 3.776282e-03 3.238163e-02 4.975613e-03 8.712600e-02
1.298717e+00 4.718163e-03 5.145577e-02 4.183060e-03 3.580384e-02 6.139297e-03 9.256407e-02
1.397178e+00 5.373200e-03 5.526123e-02 4.637352e-03 3.915034e-02 7.307320e-03 9.755475e-02
1.498547e+00 6.061804e-03 5.924745e-02 5.094128e-03 4.284787e-02 8.593357e-03 1.023454e-01
1.597162e+00 6.803569e-03 6.307979e-02 5.628913e-03 4.634378e-02 9.888313e-03 1.070555e-01
1.698912e+00 7.618364e-03 6.695019e-02 6.275897e-03 4.981846e-02 1.115834e-02 1.118530e-01
1.797990e+00 8.425187e-03 7.062971e-02 6.976070e-03 5.308296e-02 1.231435e-02 1.164946e-01
1.897253e+00 9.291531e-03 7.434389e-02 7.773848e-03 5.643015e-02 1.342845e-02 1.211009e-01
1.999585e+00 1.019026e-02 7.830557e-02 8.603022e-03 5.996314e-02 1.452164e-02 1.261518e-01
2.098948e+00 1.104808e-02 8.219021e-02 9.337779e-03 6.341090e-02 1.567949e-02 1.311098e-01
2.198242e+00 1.189630e-02 8.596547e-02 1.004203e-02 6.677559e-02 1.686478e-02 1.359009e-01
2.297528e+00 1.273573e-02 8.968807e-02 1.070969e-02 7.010551e-02 1.809000e-02 1.405697e-01
2.399788e+00 1.360999e-02 9.354872e-02 1.140075e-02 7.362034e-02 1.934127e-02 1.452154e-01
2.499223e+00 1.444449e-02 9.724861e-02 1.208199e-02 7.691863e-02 2.052846e-02 1.499041e-01
2.598770e+00 1.520462e-02 1.009161e-01 1.272730e-02 8.014411e-02 2.154217e-02 1.546680e-01
2.698420e+00 1.601848e-02 1.045905e-01 1.339201e-02 8.333627e-02 2.265464e-02 1.595397e-01
2.798132e+00 1.682338e-02 1.082185e-01 1.405452e-02 8.647116e-02 2.375390e-02 1.644336e-01
2.897813e+00 1.760209e-02 1.119729e-01 1.466917e-02 8.974084e-02 2.489293e-02 1.694518e-01
2.997246e+00 1.831751e-02 1.157427e-01 1.521695e-02 9.307871e-02 2.595336e-02 1.743433e-01
3.099470e+00 1.894893e-02 1.196274e-01 1.570912e-02 9.652549e-02 2.680885e-02 1.793603e-01
3.198806e+00 1.948066e-02 1.233969e-01 1.616684e-02 9.977792e-02 2.738996e-02 1.843784e-01
3.298234e+00 1.995978e-02 1.271995e-01 1.661441e-02 1.030658e-01 2.788411e-02 1.893950e-01
3.397766e+00 2.037045e-02 1.309666e-01 1.698444e-02 1.063035e-01 2.832679e-02 1.943722e-01
3.497384e+00 2.072504e-02 1.346854e-01 1.724613e-02 1.094967e-01 2.884145e-02 1.993335e-01
3.599990e+00 2.101137e-02 1.386826e-01 1.737180e-02 1.129487e-01 2.936889e-02 2.047426e-01
3.699691e+00 2.131179e-02 1.426225e-01 1.745225e-02 1.162957e-01 3.005590e-02 2.101916e-01
3.799390e+00 2.166641e-02 1.464773e-01 1.752651e-02 1.195480e-01 3.095593e-02 2.155775e-01
3.899083e+00 2.205649e-02 1.502692e-01 1.770215e-02 1.227782e-01 3.182909e-02 2.206881e-01
3.998771e+00 2.239172e-02 1.541101e-01 1.795354e-02 1.259435e-01 3.244046e-02 2.261516e-01
4.098475e+00 2.262288e-02 1.579190e-01 1.820458e-02 1.290927e-01 3.258211e-02 2.314274e-01
4.198203e+00 2.276268e-02 1.618279e-01 1.843702e-02 1.324427e-01 3.235057e-02 2.367248e-01
4.297810e+00 2.290869e-02 1.656673e-01 1.869323e-02 1.357124e-01 3.204076e-02 2.418707e-01
4.397224e+00 2.301305e-02 1.697018e-01 1.893312e-02 1.389912e-01 3.171874e-02 2.477082e-01
4.499355e+00 2.310752e-02 1.737764e-01 1.917792e-02 1.423367e-01 3.132295e-02 2.535978e-01
4.598353e+00 2.325981e-02 1.776864e-01 1.950769e-02 1.454374e-01 3.091819e-02 2.595177e-01
4.697109e+00 2.341338e-02 1.816171e-01 1.986718e-02 1.486954e-01 3.055292e-02 2.651464e-01
4.798474e+00 2.354192e-02 1.855939e-01 2.016122e-02 1.520306e-01 3.022698e-02 2.706439e-01
4.899544e+00 2.366934e-02 1.895069e-01 2.043183e-02 1.552788e-01 2.992281e-02 2.760350e-01
4.997483e+00 2.375564e-02 1.933308e-01 2.061297e-02 1.583278e-01 2.975846e-02 2.816214e-01
5.098090e+00 2.373728e-02 1.972643e-01 2.076021e-02 1.614139e-01 2.935448e-02 2.875187e-01
5.198521e+00 2.370569e-02 2.011203e-01 2.096707e-02 1.644570e-01 2.882388e-02 2.932719e-01
5.298772e+00 2.368445e-02 2.049018e-01 2.124571e-02 1.675495e-01 2.813786e-02 2.987892e-01
5.398855e+00 2.362725e-02 2.086282e-01 2.149657e-02 1.705451e-01 2.726618e-02 3.040815e-01
5.498854e+00 2.351523e-02 2.123748e-01 2.168408e-02 1.736092e-01 2.642785e-02 3.093110e-01
5.598775e+00 2.334478e-02 2.159848e-01 2.179912e-02 1.765297e-01 2.559277e-02 3.143777e-01
5.698647e+00 2.316107e-02 2.195496e-01 2.190098e-02 1.794691e-01 2.474515e-02 3.192538e-01
5.798548e+00 2.292402e-02 2.231366e-01 2.203514e-02 1.825110e-01 2.375929e-02 3.240468e-01
5.898536e+00 2.269117e-02 2.266715e-01 2.223373e-02 1.854738e-01 2.271474e-02 3.288866e-01
5.998554e+00 2.245668e-02 2.301356e-01 2.242886e-02 1.883607e-01 2.153391e-02 3.337514e-01
6.098619e+00 2.221486e-02 2.335603e-01 2.262429e-02 1.912447e-01 2.021620e-02 3.382657e-01
6.198779e+00 2.188760e-02 2.368325e-01 2.280712e-02 1.940035e-01 1.880034e-02 3.428178e-01
6.298989e+00 2.150073e-02 2.400681e-01 2.292911e-02 1.968116e-01 1.731458e-02 3.472254e-01
6.399257e+00 2.113458e-02 2.433014e-01 2.308363e-02 1.997090e-01 1.584998e-02 3.513740e-01
6.499631e+00 2.081279e-02 2.464392e-01 2.325498e-02 2.024411e-01 1.443946e-02 3.555184e-01
6.597217e+00 2.052675e-02 2.495515e-01 2.340242e-02 2.051672e-01 1.315323e-02 3.595122e-01
6.697732e+00 2.024587e-02 2.526443e-01 2.351361e-02 2.079122e-01 1.197981e-02 3.634413e-01
6.798336e+00 1.991173e-02 2.556835e-01 2.352953e-02 2.106470e-01 1.084448e-02 3.673094e-01
6.899031e+00 1.958199e-02 2.586957e-01 2.349353e-02 2.134182e-01 9.830639e-03 3.709815e-01
6.999774e+00 1.927328e-02 2.616183e-01 2.344767e-02 2.161194e-01 8.988799e-03 3.745850e-01
7.097690e+00 1.898476e-02 2.644588e-01 2.336798e-02 2.187500e-01 8.307385e-03 3.779927e-01
7.198559e+00 1.869581e-02 2.673916e-01 2.320155e-02 2.215999e-01 7.785102e-03 3.811640e-01
7.299476e+00 1.841499e-02 2.702259e-01 2.294119e-02 2.244410e-01 7.482381e-03 3.840773e-01
7.397551e+00 1.811288e-02 2.729835e-01 2.257924e-02 2.272977e-01 7.351921e-03 3.867427e-01
7.498571e+00 1.780111e-02 2.757610e-01 2.219504e-02 2.301727e-01 7.227116e-03 3.894013e-01
7.599644e+00 1.745474e-02 2.785820e-01 2.179249e-02 2.330549e-01 7.032563e-03 3.921316e-01
7.697869e+00 1.710918e-02 2.813556e-01 2.137274e-02 2.358522e-01 6.827166e-03 3.948515e-01
7.799030e+00 1.677598e-02 2.842260e-01 2.094600e-02 2.388026e-01 6.736529e-03 3.975172e-01
7.897355e+00 1.640892e-02 2.870411e-01 2.043033e-02 2.417337e-01 6.718151e-03 3.999994e-01
7.998607e+00 1.606260e-02 2.898892e-01 1.990049e-02 2.448032e-01 6.775467e-03 4.023759e-01
8.099901e+00 1.568963e-02 2.927322e-01 1.930587e-02 2.479248e-01 7.008307e-03 4.045814e-01
8.198340e+00 1.536177e-02 2.956133e-01 1.867265e-02 2.510231e-01 7.413981e-03 4.068527e-01
8.299712e+00 1.502252e-02 2.985503e-01 1.799395e-02 2.541236e-01 7.923261e-03 4.094008e-01
8.398208e+00 1.469474e-02 3.014200e-01 1.731026e-02 2.571321e-01 8.487221e-03 4.118769e-01
8.499609e+00 1.434952e-02 3.044545e-01 1.659242e-02 2.603872e-01 9.061002e-03 4.143087e-01
