Time	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	MEAN	STDEV
0	0.003136951	0.005193339	0.009260248	-0.0007144441	0.004295067	-0.04247656	0.003994747	0.0005246149	0.01199743	0.04788334	0.00430947328	0.02163600344576
0.9999956	0.007546459	0.007995321	0.01321947	0.005555557	0.007390775	-0.03688777	0.009759488	0.001928059	0.01760209	0.05415702	0.0088266469	0.021869584111454
1.999867	0.02140898	0.01618617	0.02479166	0.02795776	0.01791604	-0.01974562	0.02947478	0.005925716	0.03426841	0.07380234	0.0231986236	0.02350105903611
2.999968	0.04302088	0.02880549	0.0476365	0.06973851	0.035523	0.01006419	0.06521064	0.01358891	0.0639206	0.1089005	0.048640922	0.029625954925908
3.999891	0.07178907	0.04608852	0.08331196	0.1326553	0.0602056	0.05428861	0.1200913	0.02548199	0.1091831	0.1616423	0.086473775	0.043116635084285
4.999755	0.1081719	0.0678361	0.1315451	0.2174728	0.09216415	0.1136936	0.1936416	0.04137574	0.1749092	0.2337599	0.137457009	0.064827583879043
5.999701	0.1532389	0.09438219	0.1906019	0.3242546	0.1323589	0.1889762	0.2854528	0.06119943	0.2617066	0.3286339	0.202080542	0.094542742929454
6.99982	0.2074766	0.126845	0.2583295	0.4535732	0.1824312	0.2802693	0.3961679	0.08573816	0.3700718	0.4488472	0.280974986	0.13194213830887
7.9999	0.2714584	0.1664786	0.3342584	0.6049344	0.2434508	0.387054	0.5262865	0.1154272	0.4969807	0.5955055	0.37418345	0.176365522312449
8.999968	0.3460386	0.2127859	0.4173131	0.7751753	0.3157947	0.5109857	0.6752965	0.1523259	0.6402353	0.7698818	0.48158328	0.22694184559727
9.999703	0.4303473	0.265073	0.5072316	0.9616001	0.4007454	0.6550347	0.8425209	0.2004191	0.7967818	0.9725065	0.60322604	0.282628797527075
10.99982	0.5254893	0.3241624	0.6037567	1.163794	0.5012436	0.8201203	1.028671	0.2613087	0.9647368	1.202006	0.73952888	0.342694143343688
11.99987	0.6324754	0.3903688	0.7057603	1.38124	0.6200668	1.007258	1.235696	0.3363656	1.143818	1.458655	0.89117039	0.407106291417005
12.99997	0.7524859	0.462763	0.812839	1.613222	0.7607025	1.218658	1.465157	0.4249808	1.333683	1.74283	1.05873212	0.476293111055782
13.99998	0.8866082	0.5409337	0.9253276	1.857719	0.9240066	1.458335	1.715325	0.5266629	1.533773	2.05421	1.2422901	0.550319974334584
14.99985	1.03458	0.6256024	1.042901	2.112722	1.110399	1.729953	1.983681	0.642186	1.744071	2.394626	1.44207214	0.629495753883214
15.99973	1.196072	0.7179764	1.165521	2.376974	1.318028	2.036583	2.267295	0.7742241	1.96506	2.764642	1.65823755	0.71388056162862
16.99991	1.37259	0.8184282	1.29426	2.649645	1.542969	2.378624	2.56186	0.9242125	2.19656	3.165466	1.89046147	0.803607256796494
17.99985	1.567713	0.926234	1.428925	2.930514	1.781294	2.756722	2.865268	1.09522	2.437681	3.599694	2.1389265	0.899208560671519
18.99975	1.783998	1.041408	1.569429	3.220541	2.030571	3.17251	3.176871	1.287599	2.687416	4.068729	2.4039072	1.00164820821327
