Time	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	MEAN	STDEV
0	0.001817802	0.02943577	0.0008356686	-0.01665694	0.01624879	0.005511511	-0.01819377	-0.01597706	-0.003079508	0.0001717929	1.14056499999993E-05	0.015048485255018
0.9999329	0.008049735	0.03566193	0.006347771	-0.01049628	0.0227737	0.01157006	-0.01241029	-0.009454884	0.002688078	0.00625984	0.006098966	0.015119497722041
1.999678	0.03032381	0.05472251	0.02377198	0.00767174	0.04361484	0.02923777	0.004022	0.01117454	0.0211215	0.02528737	0.025094806	0.015720734483707
2.999685	0.07194913	0.08870183	0.05397376	0.03906776	0.08161367	0.05966115	0.03127252	0.04665808	0.05399748	0.05770772	0.05846031	0.018040601802838
3.999709	0.1335278	0.1403369	0.09944263	0.08615172	0.1402931	0.1039387	0.07116846	0.09659213	0.1012233	0.1046042	0.107727894	0.023215594855641
4.999969	0.2135594	0.2126445	0.1637472	0.1506223	0.2211299	0.1643392	0.1260109	0.1622385	0.1634595	0.1700777	0.17478291	0.030887218684018
5.999792	0.3114911	0.3071275	0.2482002	0.2339002	0.3253384	0.2440622	0.1980189	0.244698	0.2398807	0.2574154	0.26101326	0.040404753366575
6.999695	0.4285441	0.4245259	0.3537513	0.3385224	0.4567982	0.3452758	0.2881374	0.3444617	0.3311529	0.3658937	0.36770634	0.052310609418638
7.999982	0.5673178	0.5672779	0.4815594	0.4648788	0.6192669	0.4683269	0.3970652	0.4635714	0.4383201	0.4959207	0.49635051	0.067880461982951
8.999903	0.7302756	0.7362226	0.6317299	0.6127437	0.816204	0.6124623	0.5255301	0.6058389	0.5602049	0.6491774	0.64803894	0.088255641014463
9.999809	0.9186808	0.9297276	0.8042604	0.7817426	1.052064	0.7784387	0.6729041	0.7738609	0.6954528	0.8263262	0.82334581	0.114637861518275
10.99974	1.133194	1.146238	1.001541	0.9731534	1.327719	0.9657045	0.8381273	0.9705802	0.8432977	1.028866	1.02284211	0.147446700614873
11.99986	1.37369	1.385401	1.225393	1.188293	1.645009	1.175591	1.021459	1.198703	1.004045	1.258987	1.2476571	0.18708192555993
12.99995	1.640313	1.647565	1.477598	1.42689	2.00681	1.407534	1.222843	1.45946	1.17652	1.519873	1.4985406	0.234802249764066
13.9998	1.929386	1.932987	1.758866	1.690019	2.413492	1.659158	1.443	1.752734	1.361268	1.812987	1.7753897	0.290727792616717
14.99987	2.238588	2.24134	2.06963	1.980319	2.86476	1.930758	1.680874	2.078116	1.560421	2.13692	2.0781726	0.354623425188905
15.99991	2.566884	2.573994	2.411522	2.299946	3.361419	2.22389	1.93598	2.438102	1.775658	2.490964	2.4078359	0.426593569041606
16.99974	2.912643	2.929135	2.785569	2.648681	3.901691	2.535138	2.210132	2.837115	2.008756	2.874298	2.7643158	0.506021557008263
17.99998	3.277204	3.3035	3.19377	3.028636	4.483869	2.862918	2.503646	3.277029	2.262471	3.284874	3.1477917	0.592337229482788
18.99979	3.662747	3.69817	3.636721	3.446382	5.109552	3.207166	2.816449	3.757377	2.537948	3.722677	3.5595189	0.686126311753561
20	4.070895	4.115766	4.11606	3.903526	5.783526	3.568796	3.150131	4.279459	2.835752	4.189022	4.0012933	0.78878722324071
20.99976	4.503887	4.560849	4.634585	4.398978	6.510316	3.950399	3.505845	4.843218	3.157296	4.682901	4.4748274	0.901331171372802
22	4.964573	5.036948	5.194343	4.929004	7.291418	4.354835	3.885865	5.449267	3.502914	5.200433	4.98096	1.0237847260178
22.99996	5.454798	5.547371	5.796218	5.494271	8.124621	4.783459	4.290697	6.097267	3.872772	5.739271	5.5200745	1.15539146279771
23.99973	5.977858	6.094202	6.443761	6.097639	9.009016	5.238591	4.722168	6.786581	4.26475	6.298957	6.0933523	1.29591786686452
