Time	CMY
0	0.001095509
0.1993841	0.001346561
0.3996075	0.002122
0.5999047	0.003420303
0.7996006	0.005241015
0.9997583	0.00759628
1.199649	0.01047836
1.399711	0.01389815
1.599623	0.01786784
1.799402	0.02239103
1.999618	0.02752357
2.199954	0.03330028
2.399716	0.03971845
2.59996	0.04682039
2.799771	0.05459685
2.99955	0.06308792
3.199704	0.07234056
3.399494	0.08233553
3.599322	0.09310371
3.799623	0.1046984
3.999952	0.1171174
4.199598	0.1303378
4.399957	0.1444817
4.599567	0.1594759
4.79997	0.1754651
4.99976	0.19236
5.199747	0.2102497
5.399601	0.2291062
5.599452	0.248951
5.799626	0.2698562
5.999407	0.2917864
6.1997	0.3148617
6.39959	0.3389791
6.599815	0.364173
6.79937	0.3902599
6.999604	0.4174815
7.199479	0.4456243
7.399855	0.4748147
7.599938	0.5050402
7.799716	0.5362407
7.999462	0.5682654
8.19965	0.6011976
8.399357	0.6343627
8.599874	0.6668078
8.799668	0.6988822
8.99986	0.7308143
9.199888	0.7615061
9.399524	0.7930496
9.599759	0.8273635
9.799507	0.8641333
9.999944	0.9029085
10.19983	0.9426089
10.39963	0.9824879
10.59988	1.022898
10.79955	1.064066
10.9999	1.105408
11.19966	1.14659
11.3996	1.188137
11.59936	1.229545
11.79975	1.270198
11.99997	1.312157
12.19949	1.353064
12.39947	1.392891
12.59947	1.433455
12.79984	1.476939
12.99937	1.523076
13.19946	1.569073
13.39938	1.613526
13.59961	1.658022
13.7996	1.704001
13.99947	1.749262
14.19955	1.793829
14.39996	1.838372
14.59964	1.882173
14.79945	1.928935
14.9997	1.978335
15.19958	2.028725
15.3994	2.078913
15.59972	2.126719
15.79986	2.170319
15.99978	2.215867
16.1999	2.265686
16.39988	2.319861
16.59973	2.376729
16.79952	2.433042
16.99974	2.489233
17.19971	2.546361
17.39978	2.603521
17.59948	2.661442
17.79991	2.719854
17.99986	2.777682
18.2	2.83572
18.39956	2.893916
18.59967	2.950696
18.79973	3.007024
18.99985	3.064076
19.19933	3.121608
19.3999	3.179555
19.59987	3.238906
19.79995	3.300867
19.9996	3.358099
20.1995	3.415537
20.39991	3.473467
20.59941	3.530751
20.79963	3.588604
20.99999	3.644333
21.19944	3.694635
21.39942	3.744926
21.59992	3.796465
21.79935	3.848667
21.99976	3.899036
22.19935	3.952173
22.39977	4.004789
22.59973	4.054929
22.79971	4.100154
22.99992	4.139575
23.19953	4.177684
23.39943	4.217008
23.59962	4.254517
23.79978	4.286338
23.99951	4.311204
24.19939	4.337218
24.39959	4.363158
24.59975	4.392829
24.79937	4.432815
24.99955	4.475224
25.2	4.526886
25.39935	4.582452
25.59941	4.642644
25.7994	4.70449
25.99976	4.769618
26.19978	4.838655
26.39975	4.910733
26.59977	4.978208
26.79953	5.043228
26.99995	5.108683
27.1994	5.177538
27.39973	5.24841
27.59951	5.319949
27.79945	5.386811
27.99951	5.445105
28.19964	5.507625
28.39988	5.569628
28.59984	5.626887
28.79938	5.677132
28.99974	5.726647
29.19947	5.779047
29.39987	5.834218
29.59983	5.900467
29.79961	5.979207
29.99964	6.06488
30.19985	6.154124
30.39998	6.245817
30.59934	6.335717
30.79943	6.427604
30.99945	6.52269
31.19977	6.617877
31.39956	6.713574
31.59966	6.806466
31.79997	6.899858
31.99946	6.985785
32.19943	7.073893
32.39963	7.166092
32.59943	7.257552
32.79964	7.344304
32.99942	7.433697
33.19935	7.52644
33.39935	7.614124
33.59988	7.704115
33.79964	7.790207
33.99963	7.873547
34.19968	7.957175
34.39997	8.03989
34.59968	8.11425
34.79996	8.190112
34.99986	8.26741
35.19955	8.339026
35.39943	8.395078
35.59981	8.444655
35.79993	8.489584
