Time	CMY
0	0.008076701
0.199957	0.008342735
0.3996535	0.00914369
0.5996341	0.01040976
0.7997605	0.01214585
0.9994731	0.014359
1.19955	0.01706723
1.399746	0.02028163
1.599533	0.02399827
1.79979	0.02824908
1.999425	0.03302476
2.199709	0.03837044
2.399806	0.04428399
2.599976	0.05078573
2.79995	0.05788024
2.999325	0.06557772
3.199658	0.07397211
3.399345	0.08303125
3.59964	0.09283763
3.799741	0.1033808
3.999962	0.1147274
4.199358	0.1268473
4.399681	0.1398773
4.599902	0.153784
4.79939	0.1685303
4.999464	0.1842286
5.199776	0.2008651
5.399407	0.2183718
5.599862	0.2368934
5.799601	0.2563107
5.99998	0.2767787
6.199623	0.2981826
6.399562	0.3206499
6.599567	0.3441675
6.799454	0.3687271
6.999471	0.3944006
7.199936	0.4213078
7.399495	0.4492706
7.599819	0.4786165
7.799716	0.5091294
7.999592	0.5411797
8.199521	0.5746704
8.399686	0.6096393
8.599775	0.6461149
8.79943	0.6837061
8.999903	0.7230025
9.199954	0.7632994
9.399987	0.8045928
9.599694	0.8463703
9.799842	0.8906994
9.999659	0.9365423
10.19977	0.9835868
10.39996	1.03097
10.59975	1.076885
10.79944	1.122633
10.99962	1.169076
11.19996	1.218991
11.39977	1.271009
11.5997	1.324411
11.79967	1.380135
11.99976	1.437097
12.19964	1.4938
12.39969	1.553432
12.59946	1.614306
12.79975	1.678275
12.99965	1.744917
13.19998	1.812931
13.39945	1.881082
13.59962	1.95092
13.79981	2.023844
13.99951	2.098123
14.19983	2.173093
14.39988	2.247297
14.59954	2.32128
14.79954	2.396737
14.99981	2.47347
15.19935	2.551769
15.39937	2.633057
15.59975	2.717909
15.7994	2.802575
15.99961	2.889268
16.19937	2.979561
16.39974	3.072574
16.59961	3.166598
16.79993	3.262211
16.99995	3.356971
17.19999	3.45495
17.39978	3.556451
17.59997	3.659056
17.79954	3.763357
17.99999	3.871963
18.19983	3.982429
18.39939	4.092428
18.59993	4.207264
18.79945	4.323363
18.99958	4.44136
19.19948	4.564915
19.39941	4.691939
19.59984	4.820561
19.79942	4.949546
19.9996	5.081373
20.19976	5.217145
20.39987	5.354301
20.59981	5.492452
20.79951	5.631904
20.99992	5.774641
21.19995	5.916434
21.3994	6.060341
21.59969	6.207214
21.7996	6.355309
21.99979	6.506445
22.19982	6.660451
22.39976	6.817947
22.59963	6.975066
22.7997	7.135437
22.9997	7.298923
23.19981	7.464752
23.39971	7.630977
23.59966	7.801056
23.79996	7.974998
23.99955	8.150505
24.1997	8.326106
24.3997	8.503573
24.59969	8.683633
24.79972	8.865796
24.99974	9.05122
25.19976	9.238755
25.39957	9.428808
25.59959	9.620291
25.79989	9.815162
25.9999	10.01066
26.19947	10.20607
26.39979	10.40404
26.59991	10.60171
26.79946	10.79963
26.99968	10.99822
27.19962	11.19585
27.39999	11.39592
27.59987	11.59966
27.79971	11.80636
27.99936	12.01542
28.19969	12.22543
28.39953	12.43259
28.59948	12.64267
28.79935	12.85371
28.99984	13.05958
29.1998	13.26679
29.39982	13.48197
29.59975	13.7052
29.79971	13.93813
29.99962	14.17631
30.19957	14.41906
30.39974	14.66261
30.59961	14.9085
30.79955	15.1577
30.99951	15.41133
31.19969	15.66706
31.4	15.92307
31.59936	16.17209
31.7998	16.42407
