Time	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	MEAN	STDEV
0	0	0	0	0	0	0	0	0	0	0	0	0
0.9999956	0.00932469	0.005746435	0.007333357	0.01351805	0.006695075	0.01094378	0.01235745	0.002617478	0.01114175	0.01269333	0.0092371395	0.003537843491782
1.999867	0.01768976	0.0103005	0.01623196	0.03134082	0.01364274	0.0234002	0.0264362	0.005572359	0.02263131	0.02687789	0.0194123739	0.008127891360196
2.999968	0.0250211	0.01470466	0.02905963	0.05173033	0.02074912	0.03665041	0.04506343	0.0097207	0.03665899	0.04346564	0.031282401	0.013780066761451
3.999891	0.03221573	0.01921974	0.04167085	0.07408182	0.02776638	0.05156594	0.06420642	0.01371961	0.05483435	0.06190721	0.044118805	0.020404674293238
4.999755	0.04036914	0.02382483	0.05379702	0.09540764	0.03561891	0.06731452	0.08237377	0.01764752	0.0762663	0.08310021	0.057571986	0.027218680506415
5.999701	0.04969017	0.02907399	0.0631515	0.1183722	0.04484075	0.08313335	0.1013282	0.02180174	0.0979261	0.1071579	0.07164759	0.034508664555813
6.99982	0.059248	0.0359463	0.07181946	0.1406546	0.05532756	0.09923751	0.1201641	0.02646653	0.1181821	0.133684	0.086073016	0.041561338247347
7.9999	0.06953007	0.04289074	0.07951637	0.1618953	0.06679296	0.1151534	0.1399813	0.03266347	0.1359001	0.160457	0.100478071	0.048128436548552
8.999968	0.07967651	0.04924891	0.08651569	0.1787591	0.07856215	0.1339831	0.1585395	0.04202078	0.1503708	0.1890806	0.114675714	0.053846737563557
9.999703	0.08968598	0.05564128	0.09365466	0.1945798	0.09232933	0.1547737	0.1766741	0.05443681	0.1625488	0.2164304	0.129075486	0.058772771288448
10.99982	0.1012009	0.06299634	0.09960192	0.2101185	0.1093426	0.176158	0.1960438	0.06783961	0.1736927	0.2430973	0.144009167	0.06340554336661
11.99987	0.1134162	0.06970094	0.1047103	0.2251423	0.1291449	0.198897	0.2186328	0.0823521	0.1847471	0.2709915	0.159773514	0.068708300745124
12.99997	0.1271404	0.07530722	0.1099465	0.2388065	0.1525498	0.2246405	0.2403352	0.09535971	0.1951131	0.2980449	0.175724383	0.074275172142899
13.99998	0.1414201	0.08152952	0.1152856	0.2501648	0.175113	0.2550314	0.2599269	0.1087382	0.2053769	0.3259164	0.191850282	0.080240842390217
14.99985	0.1550605	0.08849154	0.1201584	0.2600085	0.1976468	0.2892446	0.2769061	0.1235787	0.2158214	0.3555382	0.208245474	0.086869548370777
15.99973	0.1689265	0.09673709	0.1257839	0.2687793	0.2174951	0.3249027	0.2896086	0.1408111	0.2263594	0.3852335	0.224463719	0.093290903854311
16.99991	0.1855513	0.1043227	0.1319288	0.2770121	0.2323245	0.3601272	0.2992235	0.1605318	0.2367571	0.4171079	0.24048869	0.100060915996245
17.99985	0.205873	0.1115144	0.1376097	0.2853989	0.2444506	0.3966811	0.3076577	0.1817349	0.2456487	0.4520912	0.25686602	0.10797590008848
18.99975	0.2275977	0.1189568	0.143649	0.2949554	0.2545047	0.4356452	0.3158049	0.2039874	0.2542837	0.4874751	0.27368599	0.116780941801539
19.99969	0.2497219	0.1253628	0.1501756	0.3041043	0.263343	0.4737768	0.3237805	0.2260313	0.2633074	0.524723	0.29043266	0.126491396888609
20.99985	0.2722535	0.1332473	0.1571023	0.3123047	0.2710374	0.5099734	0.3315676	0.2491734	0.2726428	0.5586837	0.30679861	0.13534255679931
21.99988	0.2938427	0.1409632	0.1647441	0.3205974	0.2781628	0.5472626	0.3390384	0.2707876	0.281804	0.5946265	0.32318293	0.145221452197218
22.99976	0.3157766	0.1492649	0.1730812	0.3307511	0.2856551	0.5809438	0.3463754	0.2921493	0.2908837	0.6288574	0.33937385	0.154236033178785
23.99996	0.3394994	0.1586135	0.1818876	0.3420122	0.2936489	0.6132284	0.3546519	0.3138924	0.2999873	0.6663573	0.35637789	0.163649731496677
