Time	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	MEAN	STDEV
0	0	0	0	0	0	0	0	0	0	0	0	0
0.9999329	0.01287656	0.01244836	0.01085997	0.01198412	0.01313223	0.01174082	0.01096397	0.01293076	0.01145792	0.01199692	0.012039163	0.000805303178893
1.999678	0.03104841	0.0257905	0.02330908	0.02417068	0.02847955	0.02338042	0.02142556	0.02804441	0.02543733	0.02529146	0.02563774	0.002862391781787
2.999685	0.05087045	0.04189497	0.03640282	0.03857203	0.04770776	0.0370062	0.03287624	0.042631	0.03988493	0.03904435	0.040689075	0.005364048858869
3.999709	0.07033461	0.0612739	0.05407103	0.05518334	0.06928731	0.05118983	0.04640884	0.05731922	0.0543938	0.05490769	0.057436957	0.007558869134079
4.999969	0.08864269	0.08332314	0.07410435	0.07315571	0.0918602	0.06928117	0.06260132	0.07394615	0.06935088	0.07612144	0.076238705	0.009124063143833
5.999792	0.1071799	0.1055917	0.09501032	0.09326714	0.117457	0.09014696	0.08080886	0.09109358	0.08356554	0.09788362	0.096200462	0.011218563241348
6.999695	0.1278761	0.1299248	0.1168276	0.1152429	0.1469202	0.1121228	0.09905326	0.1089609	0.09936314	0.119184	0.11754757	0.014556424848569
7.999982	0.1505059	0.1562276	0.1395913	0.1374627	0.17927	0.1336797	0.1188925	0.1304791	0.1150454	0.1416913	0.14028455	0.018628979570447
8.999903	0.1761799	0.181971	0.1613816	0.1586098	0.216183	0.155104	0.1384433	0.1549361	0.1289011	0.165425	0.16371348	0.024216300873163
9.999809	0.2016983	0.2055325	0.1849274	0.1803052	0.2563142	0.1770159	0.1566839	0.1820545	0.1417569	0.1898727	0.18761615	0.030745673870075
10.99974	0.2280704	0.2282143	0.210442	0.2035619	0.2964672	0.1980939	0.1745274	0.2124349	0.1545392	0.2164001	0.21227513	0.03748719782889
11.99986	0.2539652	0.2506881	0.2384746	0.2273208	0.3399491	0.2220579	0.1923736	0.2449254	0.166892	0.2448738	0.23815205	0.045229059899097
12.99995	0.2784137	0.2741864	0.2671003	0.2505105	0.3842787	0.2422052	0.2109573	0.2772812	0.1785874	0.2778428	0.26413635	0.053667435478784
13.9998	0.2995921	0.2970172	0.296164	0.2766295	0.4292444	0.2610443	0.2295373	0.3097714	0.1914648	0.3086406	0.28991056	0.062082985770718
14.99987	0.3190728	0.3203343	0.326402	0.3052984	0.4744623	0.2828476	0.2467157	0.3424315	0.2072054	0.3397739	0.31645439	0.070204996083952
15.99991	0.3375134	0.3449817	0.3585008	0.3348548	0.5192945	0.3027976	0.2643009	0.3791707	0.2237496	0.3687417	0.34339057	0.078471699175379
16.99974	0.3551288	0.3650318	0.3906951	0.3636918	0.5617065	0.3197327	0.2843023	0.4198662	0.2434837	0.397785	0.37014239	0.086023905639181
17.99998	0.3752068	0.3844727	0.4264024	0.3984169	0.6037378	0.3362847	0.3031348	0.4604603	0.2646219	0.4237623	0.39765006	0.093689257580474
18.99979	0.3968064	0.4056506	0.4609514	0.4379691	0.6494534	0.3527364	0.3232744	0.5012847	0.2863949	0.4523546	0.42668759	0.102377274589383
20	0.4209415	0.4309807	0.4987034	0.4770792	0.6999009	0.3714163	0.3447884	0.543319	0.3098629	0.4808468	0.45778391	0.111902362212565
20.99976	0.4466127	0.4598841	0.5393637	0.5135527	0.7544402	0.3932288	0.3677868	0.585117	0.3332196	0.506362	0.48995676	0.121976916955165
22	0.4755848	0.493068	0.580708	0.5474831	0.8078341	0.4165606	0.392533	0.6271621	0.3581878	0.5284383	0.52275598	0.131062747374156
22.99996	0.5062373	0.5287441	0.624816	0.5842394	0.8595963	0.4416591	0.4179107	0.6691637	0.3814894	0.5495178	0.55633738	0.139986657578379
23.99973	0.5414436	0.5659584	0.6713782	0.6240317	0.9090939	0.4702725	0.4457628	0.7102056	0.40306	0.5700947	0.59113014	0.148119940275217
24.99968	0.5790086	0.6064193	0.72143	0.6714046	0.9585993	0.5059658	0.4751922	0.7539041	0.4254416	0.5913264	0.62886919	0.156075701287103
25.99999	0.6204654	0.6477577	0.772075	0.7242343	1.010741	0.5464321	0.5059059	0.795209	0.449792	0.6123179	0.66849303	0.164006355599667
26.99985	0.6619799	0.6898106	0.8290151	0.7825562	1.062746	0.5886912	0.5400787	0.8376534	0.4782141	0.6372	0.71079452	0.171747545051197
27.99972	0.7046641	0.7307381	0.8906357	0.8388813	1.118149	0.634496	0.5782024	0.8782283	0.5095008	0.6626382	0.75461339	0.179566000974946
28.99979	0.7474615	0.7714971	0.9562312	0.9002513	1.175059	0.6793018	0.6200042	0.917903	0.5403533	0.6879416	0.7996004	0.188426240127277
29.99986	0.7912656	0.8143885	1.02356	0.9662006	1.233071	0.7282841	0.6624474	0.9580974	0.5698555	0.7132363	0.84604064	0.198267839025099
30.99993	0.8371609	0.8607018	1.095001	1.032547	1.294088	0.7843716	0.7049834	1.00012	0.6026901	0.7372348	0.89488986	0.208817442116586
31.9998	0.8847893	0.9067014	1.167771	1.102163	1.355475	0.8413328	0.7476695	1.044856	0.6415395	0.7636871	0.94559846	0.219222226249602
32.99998	0.9378232	0.9536691	1.239261	1.170533	1.419907	0.902103	0.7900815	1.094081	0.6822662	0.7930416	0.99827666	0.229714655704696
33.9998	0.9860014	1.002975	1.313507	1.239652	1.487887	0.9685354	0.8321348	1.145238	0.7213416	0.8243553	1.05216275	0.241640945543908
34.99985	1.031516	1.051618	1.395602	1.311156	1.557756	1.037898	0.8754398	1.198578	0.7584266	0.858391	1.10763814	0.255387348292311
35.99969	1.077752	1.103332	1.481222	1.388798	1.628041	1.110009	0.9210549	1.251727	0.7928539	0.893153	1.16479428	0.270462957798093
36.99973	1.127756	1.15538	1.568243	1.467322	1.694299	1.186051	0.9695125	1.305409	0.8212198	0.9311347	1.2226327	0.28551635835048
37.99993	1.179744	1.209066	1.654503	1.546692	1.760328	1.256415	1.018547	1.360869	0.8438523	0.9730528	1.28030691	0.301306263867044
38.99992	1.236471	1.265189	1.734638	1.618375	1.824711	1.320193	1.067281	1.417106	0.8670281	1.017462	1.33684541	0.314967098008476
39.99982	1.292529	1.320502	1.814838	1.68836	1.887808	1.381152	1.109168	1.475883	0.8954812	1.062702	1.39284232	0.328221167659453
40.99975	1.344699	1.375073	1.88778	1.751578	1.946043	1.443866	1.151377	1.537422	0.9249428	1.106028	1.44688088	0.339300272029248
41.99995	1.396753	1.432611	1.959454	1.803715	2.001909	1.507805	1.196693	1.600826	0.953783	1.152193	1.5005742	0.348328708706717
42.99983	1.452862	1.486477	2.032669	1.853678	2.053294	1.570396	1.244966	1.667276	0.9878667	1.20266	1.55521447	0.355206969087833
43.99991	1.516362	1.539799	2.110435	1.907435	2.103969	1.629675	1.295741	1.736989	1.023378	1.248932	1.6112715	0.363066527737227
44.99981	1.581962	1.59515	2.192293	1.959674	2.151099	1.686909	1.345826	1.808067	1.061651	1.303148	1.6685779	0.369774154636899
45.99982	1.649016	1.658619	2.26663	2.007268	2.200692	1.740253	1.392263	1.876221	1.101881	1.358062	1.7250905	0.375090540644152
46.99977	1.712285	1.721667	2.336486	2.052352	2.249337	1.787085	1.43966	1.948922	1.142317	1.412574	1.7802685	0.379791531667118
47.9999	1.7706	1.785517	2.404005	2.104327	2.299825	1.830573	1.489448	2.019128	1.185497	1.46439	1.835331	0.384634842384306
48.99995	1.827539	1.844916	2.473655	2.154026	2.351274	1.874	1.539308	2.088234	1.225052	1.521376	1.889938	0.390106479711202
49.9998	1.890069	1.906018	2.540284	2.204215	2.399532	1.912716	1.59022	2.156993	1.269199	1.576649	1.9445895	0.393972885388844
50.99994	1.955519	1.967893	2.604511	2.261702	2.445091	1.960179	1.631478	2.217296	1.317856	1.632595	1.999412	0.397205802307122
51.99975	2.026447	2.032422	2.667935	2.314587	2.470415	2.01053	1.67939	2.260293	1.371166	1.685396	2.0518581	0.395293477020822
52.99975	2.095093	2.097837	2.732938	2.367013	2.47042	2.064161	1.728794	2.307223	1.420257	1.750085	2.1033821	0.390945087787545
53.99973	2.163634	2.158019	2.79555	2.415573	2.494339	2.118784	1.783639	2.364014	1.476488	1.812399	2.1582439	0.387870740455417
54.99983	2.230274	2.219553	2.856987	2.461351	2.527638	2.168656	1.835944	2.412115	1.533046	1.874395	2.2119959	0.385357119503585
55.99981	2.299182	2.282997	2.915285	2.506813	2.561683	2.215821	1.880171	2.453153	1.594203	1.932895	2.2642203	0.382539317285034
56.99998	2.364575	2.341632	2.969573	2.557525	2.597853	2.262698	1.928779	2.511946	1.653959	1.99456	2.31831	0.380159948041464
57.99996	2.429623	2.3985	3.019638	2.607335	2.631672	2.308356	1.981729	2.576297	1.710281	2.050465	2.3713896	0.377950921368899
58.99973	2.49418	2.448561	3.068009	2.657196	2.666882	2.361104	2.035796	2.638913	1.767287	2.103234	2.4241162	0.375448859314288
59.99988	2.551989	2.492815	3.11184	2.700434	2.698657	2.41426	2.088926	2.698316	1.827815	2.147842	2.4732894	0.371351412568323
60.99982	2.605058	2.537868	3.154917	2.742757	2.728486	2.468145	2.141968	2.758655	1.891217	2.196871	2.5225942	0.366064243752924
61.99996	2.655428	2.581802	3.199305	2.785831	2.747702	2.520105	2.192842	2.818619	1.957817	2.243914	2.5703365	0.36044279596853
62.99998	2.703973	2.624027	3.240914	2.829893	2.756703	2.567276	2.24351	2.874422	2.019258	2.294314	2.615429	0.354550283790294
63.99986	2.747431	2.669685	3.282221	2.871274	2.778364	2.616158	2.292096	2.929703	2.076028	2.347822	2.6610782	0.349924698106385
64.9999	2.799897	2.713791	3.321087	2.904498	2.778683	2.666179	2.338441	2.98881	2.134282	2.399915	2.7045583	0.344655895823662
65.99972	2.854667	2.756618	3.355598	2.937021	2.76716	2.719644	2.3822	3.047367	2.197099	2.447731	2.7465105	0.339049159651337
66.99986	2.909636	2.799028	3.392372	2.962423	2.790455	2.77354	2.426393	3.104727	2.251673	2.499044	2.7909291	0.335485218881697
67.99994	2.964456	2.840172	3.429485	2.989276	2.817564	2.823288	2.46508	3.161219	2.305873	2.55261	2.8349023	0.332902943997212
68.99974	3.018128	2.881377	3.466353	3.014642	2.845216	2.865135	2.503535	3.215289	2.361113	2.603599	2.8774387	0.3303484158861
69.99996	3.067713	2.921625	3.503444	3.038061	2.874402	2.90772	2.541062	3.265212	2.409662	2.64941	2.9178311	0.329103016920386
