Time	Vely1
0	0
0.1993841	0.002789631
0.3996075	0.005307214
0.5999047	0.007918889
0.7996006	0.01050292
0.9997583	0.01311141
1.199649	0.01571945
1.399711	0.01844418
1.599623	0.02123114
1.799402	0.02417369
1.999618	0.02728541
2.199954	0.03055407
2.399716	0.03389847
2.59996	0.03732813
2.799771	0.04086166
2.99955	0.04451669
3.199704	0.04827976
3.399494	0.05209311
3.599322	0.05602745
3.799623	0.06008726
3.999952	0.06429924
4.199598	0.06863883
4.399957	0.07314157
4.599567	0.07776008
4.79997	0.08248494
4.99976	0.08735515
5.199747	0.0922608
5.399601	0.09724103
5.599452	0.1023456
5.799626	0.10762
5.999407	0.1130277
6.1997	0.1185319
6.39959	0.124149
6.599815	0.1298058
6.79937	0.1355201
6.999604	0.1412967
7.199479	0.1471975
7.399855	0.1531945
7.599938	0.159247
7.799716	0.1653532
7.999462	0.1714657
8.19965	0.1775381
8.399357	0.1835172
8.599874	0.1892694
8.799668	0.1948696
8.99986	0.2003504
9.199888	0.2054978
9.399524	0.2107715
9.599759	0.2163938
9.799507	0.2222649
9.999944	0.2283253
10.19983	0.2344284
10.39963	0.2404603
10.59988	0.2465071
10.79955	0.2526066
10.9999	0.2586554
11.19966	0.2644927
11.3996	0.2702336
11.59936	0.2759016
11.79975	0.2814785
11.99997	0.2871475
12.19949	0.2925974
12.39947	0.2978018
12.59947	0.3030849
12.79984	0.3088429
12.99937	0.3150417
13.19946	0.3211992
13.39938	0.3271453
13.59961	0.3332701
13.7996	0.3396302
13.99947	0.3459614
14.19955	0.3522598
14.39996	0.3584049
14.59964	0.3643157
14.79945	0.3705368
14.9997	0.3770552
15.19958	0.3835902
15.3994	0.3898959
15.59972	0.3957919
15.79986	0.4009417
15.99978	0.4063144
16.1999	0.4122863
16.39988	0.4187587
16.59973	0.4254299
16.79952	0.431803
16.99974	0.4380489
17.19971	0.4441983
17.39978	0.4501962
17.59948	0.4563606
17.79991	0.4626089
17.99986	0.4687471
18.2	0.4747283
18.39956	0.4807429
18.59967	0.4864555
18.79973	0.4921383
18.99985	0.4978567
19.19933	0.5036368
19.3999	0.5092987
19.59987	0.515039
19.79995	0.5210987
19.9996	0.5266017
20.1995	0.5321189
20.39991	0.5375684
20.59941	0.543094
20.79963	0.549014
20.99999	0.5548363
21.19944	0.5600313
21.39942	0.5651326
21.59992	0.570434
21.79935	0.5759496
21.99976	0.5812524
22.19935	0.5868752
22.39977	0.5923513
22.59973	0.597437
22.79971	0.602133
22.99992	0.6062111
23.19953	0.610249
23.39943	0.6143746
23.59962	0.6183146
23.79978	0.622014
23.99951	0.6250969
24.19939	0.6283352
24.39959	0.6316201
24.59975	0.6356137
24.79937	0.6410978
24.99955	0.6468003
25.2	0.6534823
25.39935	0.6605735
25.59941	0.6681789
25.7994	0.6759811
25.99976	0.6840997
26.19978	0.6927645
26.39975	0.7016002
26.59977	0.7094311
26.79953	0.716998
26.99995	0.7246766
27.1994	0.7327301
27.39973	0.7408407
27.59951	0.7492052
27.79945	0.7571988
27.99951	0.7643576
28.19964	0.7721196
28.39988	0.7798512
28.59984	0.7872077
28.79938	0.7940307
28.99974	0.8006558
29.19947	0.8075003
29.39987	0.8141683
29.59983	0.8218767
29.79961	0.830963
29.99964	0.8409153
30.19985	0.8509552
30.39998	0.8611255
30.59934	0.8712311
30.79943	0.8817649
30.99945	0.8926583
31.19977	0.9032857
31.39956	0.9134732
31.59966	0.9229234
31.79997	0.9323162
31.99946	0.9404612
32.19943	0.9490964
32.39963	0.9586207
32.59943	0.9680687
32.79964	0.9765283
32.99942	0.98525
33.19935	0.9944869
33.39935	1.003091
33.59988	1.012608
33.79964	1.021744
33.99963	1.030588
34.19968	1.039129
34.39997	1.047027
34.59968	1.053173
34.79996	1.058991
34.99986	1.064753
35.19955	1.069511
35.39943	1.071765
35.59981	1.072966
35.79993	1.074388
