Time	Vely1
0	0
0.1997424	0.003023252
0.3997191	0.005119898
0.5995056	0.007230333
0.7999675	0.009380329
0.9993074	0.01157087
1.199691	0.01383315
1.399485	0.01613773
1.599457	0.01848391
1.799539	0.02087296
1.999746	0.02329817
2.199348	0.02575121
2.39979	0.02824176
2.599597	0.0307377
2.799521	0.03322231
2.999565	0.03570771
3.199568	0.03822136
3.399438	0.04079837
3.599994	0.04346786
3.799712	0.04624075
3.999361	0.04914625
4.199716	0.05219897
4.399784	0.05523942
4.599573	0.05818611
4.799427	0.06120795
4.999279	0.06439632
5.199475	0.06777583
5.399473	0.07115487
5.599636	0.07443794
5.799706	0.07768226
5.999568	0.08089221
6.199579	0.08400756
6.399773	0.08699904
6.599319	0.08990484
6.799389	0.09277944
6.99977	0.09562111
7.199703	0.09856183
7.399865	0.1016691
7.599768	0.1048815
7.799328	0.1081374
7.999918	0.111405
8.199306	0.1145818
8.399719	0.1176737
8.599943	0.1206469
8.799791	0.1236271
8.999798	0.1266108
9.199676	0.1295595
9.399541	0.1325728
9.599336	0.1356026
9.799903	0.1386203
9.99966	0.1416057
10.19982	0.1443784
10.39931	0.146861
10.59977	0.1494902
10.7999	0.1520354
10.99948	0.1545558
11.19995	0.1568195
11.39991	0.1590046
11.59938	0.160988
11.79939	0.1628456
11.99971	0.1650199
12.19938	0.1673615
12.39938	0.1696927
12.59969	0.1719435
12.7994	0.1741562
12.99966	0.1763431
13.19993	0.1784992
13.39995	0.1806567
13.59993	0.1830387
13.79938	0.1853417
13.99987	0.1876152
14.19942	0.1897571
14.39948	0.191703
14.59974	0.1933614
14.79973	0.1949536
14.99971	0.1968138
15.19984	0.1988297
15.39956	0.2008937
15.59996	0.203051
15.7994	0.2051794
15.99952	0.2073459
16.19993	0.2095625
16.39962	0.2118034
16.59939	0.214158
16.79936	0.2165907
16.99964	0.2190606
17.19948	0.2214362
17.39964	0.2238097
17.59978	0.2261755
17.79988	0.2284262
17.99983	0.2305283
18.19973	0.2326174
18.39939	0.2347014
18.59979	0.2367008
18.79948	0.2386801
18.99954	0.2405347
19.19989	0.2425444
19.39979	0.2446295
19.59946	0.24678
19.79986	0.248965
19.99959	0.2512026
20.19958	0.253417
20.39971	0.2556971
20.59955	0.25795
20.79971	0.2601295
20.99979	0.2623928
21.19995	0.2647097
21.39935	0.2671391
21.59987	0.2697083
21.79973	0.272199
21.99986	0.274762
22.19959	0.2775139
22.39934	0.2803365
22.59985	0.2831918
22.79964	0.2860527
22.99981	0.2887706
23.19936	0.291508
23.39986	0.2945657
23.59974	0.2976067
23.79948	0.3007988
23.99955	0.3040026
24.19961	0.307277
24.39994	0.3106917
24.5997	0.3140499
24.79998	0.3173553
24.99974	0.3207366
25.19953	0.3240973
25.39981	0.3275936
25.59972	0.3311739
25.79965	0.3347992
25.99944	0.3386492
26.19939	0.3425792
26.39994	0.3465177
26.5994	0.3507519
26.79946	0.3552072
26.9995	0.3599346
27.19937	0.3648773
27.39948	0.3700872
27.59979	0.3755347
27.79941	0.3810638
27.99934	0.3868113
28.1996	0.3927179
28.39997	0.3988248
28.59988	0.4052698
28.79958	0.411925
28.99942	0.4186787
29.19983	0.4257299
29.39975	0.4332006
29.59979	0.4411144
29.79989	0.4493489
29.99947	0.4577213
30.1999	0.4662288
30.39933	0.4748686
30.59989	0.483938
30.79986	0.4933158
30.9994	0.5030719
31.19966	0.5128996
31.39943	0.5228192
31.59955	0.5327994
31.79962	0.543272
31.99935	0.5541145
32.19991	0.565183
32.39941	0.5760135
32.59977	0.5868254
32.79949	0.5980556
32.99962	0.609433
33.19956	0.6202524
33.39965	0.6312485
33.59999	0.6429023
33.79981	0.6552675
33.9999	0.6676358
34.19967	0.6798818
34.39956	0.6927962
34.59945	0.7057448
34.8	0.7186794
34.99998	0.7316057
35.19988	0.7449025
35.39997	0.7579764
35.59978	0.7709843
35.79942	0.7837947
35.99977	0.7965012
36.19936	0.807979
36.39937	0.8185199
36.59964	0.82938
36.79995	0.8404387
36.99989	0.8514875
37.19982	0.8631069
37.39983	0.8748827
37.59983	0.8862809
37.79939	0.8983365
37.99999	0.911051
38.19942	0.9240848
38.39965	0.9370407
38.59949	0.9493748
38.79995	0.9617493
38.99936	0.9739731
39.19934	0.9860659
39.3996	0.9977769
39.59958	1.009038
39.79983	1.019574
